ID,MONTHS_BALANCE,STATUS
5000008,-8,C
5000008,-9,C
5000008,-10,C
5000008,-11,X
5000009,0,0
5000009,-1,C
5000009,-2,C
5000009,-3,C
5000009,-4,X
5000009,-5,1
5000009,-6,0
5000009,-7,C
5000009,-8,X
5000009,-9,C
5000009,-10,C
5000009,-11,C
5000009,-12,C
5000009,-13,C
5000009,-14,0
5000009,-15,C
5000009,-16,C
5000009,-17,X
5000009,-18,X
5000009,-19,0
5000010,0,C
5000010,-1,C
5000010,-2,0
5000010,-3,0
5000010,-4,C
5000010,-5,0
5000010,-6,X
5000010,-7,0
5000010,-8,C
5000010,-9,C
5000010,-10,0
5000010,-11,C
5000010,-12,0
5000010,-13,0
5000011,0,1
5000011,-1,2
5000011,-2,X
5000011,-3,0
5000011,-4,X
5000011,-5,1
5000011,-6,0
5000011,-7,C
5000011,-8,1
5000011,-9,C
5000011,-10,2
5000011,-11,X
5000011,-12,3
5000011,-13,0
5000012,0,C
5000012,-1,C
5000012,-2,0
5000012,-3,X
5000012,-4,C
5000012,-5,C
5000012,-6,1
5000012,-7,1
5000012,-8,0
5000012,-9,C
5000012,-10,X
5000012,-11,C
5000012,-12,C
5000012,-13,C
5000012,-14,0
5000012,-15,0
5000013,0,0
5000013,-1,0
5000013,-2,C
5000013,-3,C
5000013,-4,3
5000013,-5,C
5000013,-6,C
5000013,-7,0
5000013,-8,X
5000013,-9,X
5000013,-10,C
5000013,-11,C
5000013,-12,C
5000014,0,C
5000014,-1,C
5000014,-2,0
5000014,-3,1
5000014,-4,0
5000014,-5,X
5000014,-6,C
5000014,-7,X
5000014,-8,0
5000014,-9,C
5000014,-10,C
5000014,-11,0
5000014,-12,C
5000014,-13,C
5000014,-14,X
5000014,-15,0
5000014,-16,C
5000014,-17,X
5000014,-18,C
5000014,-19,1
5000014,-20,0
5000014,-21,X
5000014,-22,0
5000015,0,0
5000015,-1,0
5000015,-2,C
5000015,-3,2
5000015,-4,C
5000015,-5,0
5000015,-6,X
5000015,-7,3
5000015,-8,4
5000015,-9,0
5000015,-10,0
5000015,-11,0
5000015,-12,C
5000015,-13,0
5000015,-14,C
5000016,0,0
5000016,-1,C
5000016,-2,0
5000016,-3,C
5000016,-4,1
5000016,-5,0
5000016,-6,0
5000016,-7,0
5000016,-8,C
5000016,-9,C
5000016,-10,0
5000016,-11,0
5000016,-12,C
5000017,0,0
5000017,-1,C
5000017,-2,0
5000017,-3,0
5000017,-4,C
5000017,-5,0
5000017,-6,C
5000017,-7,0
5000017,-8,X
5000017,-9,1
5000017,-10,C
5000017,-11,C
5000017,-12,X
5000017,-13,X
5000017,-14,C
5000017,-15,C
5000017,-16,0
5000017,-17,0
5000017,-18,C
5000018,0,C
5000018,-1,X
5000018,-2,C
5000018,-3,0
5000018,-4,0
5000018,-5,C
5000018,-6,C
5000018,-7,C
5000018,-8,0
5000018,-9,C
5000018,-10,C
5000018,-11,0
5000018,-12,0
5000019,0,1
5000019,-1,C
5000019,-2,C
5000019,-3,C
5000019,-4,C
5000019,-5,C
5000019,-6,0
5000019,-7,C
5000019,-8,C
5000019,-9,C
5000019,-10,C
5000019,-11,X
5000019,-12,C
5000019,-13,0
5000019,-14,C
5000019,-15,0
5000019,-16,0
5000019,-17,C
5000020,0,0
5000020,-1,C
5000020,-2,C
5000020,-3,C
5000020,-4,C
5000020,-5,C
5000020,-6,C
5000020,-7,X
5000020,-8,X
5000020,-9,C
5000020,-10,0
5000020,-11,X
5000020,-12,C
5000021,0,C
5000021,-1,C
5000021,-2,C
5000021,-3,C
5000021,-4,C
5000021,-5,C
5000021,-6,C
5000021,-7,1
5000021,-8,1
5000021,-9,0
5000021,-10,C
5000021,-11,0
5000021,-12,C
5000021,-13,C
5000021,-14,0
5000021,-15,C
5000021,-16,C
5000021,-17,0
5000022,0,0
5000022,-1,C
5000022,-2,C
5000022,-3,C
5000022,-4,C
5000022,-5,C
5000022,-6,0
5000022,-7,C
5000022,-8,C
5000022,-9,1
5000022,-10,1
5000022,-11,X
5000022,-12,0
5000022,-13,C
5000022,-14,C
5000022,-15,C
5000022,-16,C
5000022,-17,C
5000022,-18,C
5000022,-19,C
5000023,0,0
5000023,-1,0
5000023,-2,X
5000023,-3,0
5000023,-4,C
5000023,-5,0
5000023,-6,C
5000023,-7,0
5000023,-8,0
5000023,-9,C
5000023,-10,0
5000023,-11,0
5000023,-12,C
5000023,-13,0
5000023,-14,C
5000023,-15,C
5000023,-16,0
5000024,0,0
5000024,-1,C
5000024,-2,X
5000024,-3,C
5000024,-4,C
5000024,-5,0
5000024,-6,0
5000024,-7,C
5000024,-8,C
5000024,-9,C
5000024,-10,0
5000024,-11,C
5000024,-12,0
5000024,-13,C
5000024,-14,X
5000024,-15,C
5000024,-16,C
5000024,-17,0
5000024,-18,X
5000024,-19,C
5000024,-20,C
5000025,0,C
5000025,-1,C
5000025,-2,C
5000025,-3,X
5000025,-4,0
5000025,-5,0
5000025,-6,C
5000025,-7,C
5000025,-8,X
5000025,-9,X
5000025,-10,0
5000025,-11,C
5000025,-12,0
5000025,-13,C
5000025,-14,C
5000025,-15,C
5000025,-16,0
5000025,-17,0
5000025,-18,0
5000025,-19,C
5000025,-20,C
5000025,-21,C
5000025,-22,C
5000025,-23,C
5000026,0,0
5000026,-1,0
5000026,-2,C
5000026,-3,C
5000026,-4,1
5000026,-5,C
5000026,-6,C
5000026,-7,X
5000026,-8,C
5000026,-9,C
5000026,-10,1
5000026,-11,0
5000026,-12,0
5000026,-13,C
5000026,-14,0
5000026,-15,1
5000026,-16,X
5000026,-17,C
5000026,-18,X
5000026,-19,0
5000026,-20,C
5000026,-21,X
5000027,0,X
5000027,-1,0
5000027,-2,3
5000027,-3,0
5000027,-4,2
5000027,-5,C
5000027,-6,1
5000027,-7,C
5000027,-8,0
5000027,-9,X
5000027,-10,1
5000027,-11,C
5000027,-12,2
5000027,-13,0
5000027,-14,C
5000027,-15,0
5000027,-16,C
5000027,-17,0
5000027,-18,C
5000027,-19,C
5000028,0,C
5000028,-1,C
5000028,-2,0
5000028,-3,C
5000028,-4,C
5000028,-5,C
5000028,-6,C
5000028,-7,0
5000028,-8,0
5000028,-9,C
5000028,-10,X
5000028,-11,C
5000028,-12,C
5000028,-13,C
5000028,-14,X
5000028,-15,C
5000029,0,C
5000029,-1,0
5000029,-2,C
5000029,-3,C
5000029,-4,C
5000029,-5,C
5000029,-6,X
5000029,-7,1
5000029,-8,C
5000029,-9,C
5000029,-10,C
5000029,-11,1
5000029,-12,0
5000029,-13,2
5000029,-14,C
5000029,-15,0
5000029,-16,C
5000029,-17,C
5000029,-18,C
5000030,0,C
5000030,-1,0
5000030,-2,5
5000030,-3,1
5000030,-4,1
5000030,-5,C
5000030,-6,C
5000030,-7,2
5000030,-8,0
5000030,-9,0
5000030,-10,0
5000030,-11,C
5000030,-12,0
5000030,-13,X
5000030,-14,0
5000030,-15,C
5000030,-16,0
5000031,0,0
5000031,-1,0
5000031,-2,X
5000031,-3,0
5000031,-4,0
5000031,-5,C
5000031,-6,C
5000031,-7,1
5000031,-8,1
5000031,-9,C
5000031,-10,0
5000031,-11,C
5000031,-12,X
5000031,-13,C
5000031,-14,0
5000031,-15,C
5000031,-16,C
5000031,-17,C
5000031,-18,0
5000031,-19,0
5000031,-20,C
5000031,-21,C
5000031,-22,C
5000032,0,0
5000032,-1,X
5000032,-2,X
5000032,-3,0
5000032,-4,0
5000032,-5,C
5000032,-6,0
5000032,-7,C
5000032,-8,0
5000032,-9,C
5000032,-10,C
5000032,-11,C
5000032,-12,C
5000032,-13,C
5000032,-14,X
5000032,-15,C
5000032,-16,C
5000032,-17,0
5000032,-18,C
5000032,-19,C
5000032,-20,X
5000032,-21,0
5000033,0,C
5000033,-1,0
5000033,-2,C
5000033,-3,X
5000033,-4,C
5000033,-5,C
5000033,-6,C
5000033,-7,C
5000033,-8,C
5000033,-9,C
5000033,-10,C
5000033,-11,C
5000033,-12,X
5000033,-13,X
5000033,-14,C
5000033,-15,0
5000033,-16,C
5000034,0,C
5000034,-1,C
5000034,-2,C
5000034,-3,C
5000034,-4,X
5000034,-5,C
5000034,-6,0
5000034,-7,0
5000034,-8,0
5000034,-9,0
5000034,-10,2
5000034,-11,2
5000034,-12,0
5000034,-13,0
5000035,0,X
5000035,-1,C
5000035,-2,C
5000035,-3,C
5000035,-4,C
5000035,-5,0
5000035,-6,0
5000035,-7,0
5000035,-8,0
5000035,-9,0
5000035,-10,C
5000035,-11,C
5000036,0,C
5000036,-1,C
5000036,-2,C
5000036,-3,C
5000036,-4,C
5000036,-5,0
5000036,-6,0
5000036,-7,X
5000036,-8,0
5000036,-9,0
5000036,-10,C
5000036,-11,0
5000036,-12,0
5000036,-13,0
5000036,-14,C
5000036,-15,C
5000036,-16,0
5000036,-17,C
5000036,-18,0
5000036,-19,C
5000036,-20,1
5000036,-21,0
5000036,-22,X
5000037,0,0
5000037,-1,X
5000037,-2,C
5000037,-3,X
5000037,-4,0
5000037,-5,C
5000037,-6,0
5000037,-7,C
5000037,-8,C
5000037,-9,C
5000037,-10,C
5000037,-11,1
5000038,0,0
5000038,-1,X
5000038,-2,C
5000038,-3,C
5000038,-4,C
5000038,-5,C
5000038,-6,C
5000038,-7,0
5000038,-8,0
5000038,-9,0
5000038,-10,X
5000038,-11,X
5000038,-12,C
5000038,-13,C
5000038,-14,0
5000038,-15,C
5000038,-16,C
5000038,-17,C
5000038,-18,0
5000038,-19,C
5000038,-20,X
5000038,-21,0
5000038,-22,C
5000038,-23,C
5000039,0,C
5000039,-1,0
5000039,-2,0
5000039,-3,1
5000039,-4,0
5000039,-5,1
5000039,-6,C
5000039,-7,C
5000039,-8,0
5000039,-9,C
5000039,-10,0
5000039,-11,0
5000039,-12,C
5000039,-13,C
5000039,-14,0
5000039,-15,0
5000040,0,C
5000040,-1,C
5000040,-2,X
5000040,-3,C
5000040,-4,X
5000040,-5,C
5000040,-6,C
5000040,-7,C
5000040,-8,C
5000040,-9,1
5000040,-10,C
5000040,-11,C
5000040,-12,C
5000040,-13,C
5000040,-14,X
5000040,-15,0
5000040,-16,C
5000040,-17,X
5000040,-18,0
5000040,-19,0
5000041,0,0
5000041,-1,0
5000041,-2,X
5000041,-3,0
5000041,-4,C
5000041,-5,C
5000041,-6,X
5000041,-7,X
5000041,-8,C
5000041,-9,C
5000041,-10,0
5000041,-11,0
5000042,0,C
5000042,-1,0
5000042,-2,0
5000042,-3,0
5000042,-4,C
5000042,-5,C
5000042,-6,0
5000042,-7,0
5000042,-8,C
5000042,-9,0
5000042,-10,0
5000042,-11,0
5000042,-12,0
5000042,-13,C
5000042,-14,X
5000042,-15,0
5000042,-16,0
5000042,-17,C
5000042,-18,0
5000042,-19,X
5000042,-20,0
5000042,-21,0
5000042,-22,C
5000042,-23,C
5000043,0,C
5000043,-1,X
5000043,-2,X
5000043,-3,0
5000043,-4,C
5000043,-5,C
5000043,-6,X
5000043,-7,C
5000043,-8,C
5000043,-9,C
5000043,-10,X
5000043,-11,1
5000043,-12,C
5000043,-13,C
5000044,0,C
5000044,-1,C
5000044,-2,1
5000044,-3,X
5000044,-4,1
5000044,-5,0
5000044,-6,C
5000044,-7,C
5000044,-8,0
5000044,-9,C
5000044,-10,0
5000044,-11,0
5000044,-12,0
5000044,-13,C
5000044,-14,C
5000044,-15,0
5000045,0,0
5000045,-1,0
5000045,-2,1
5000045,-3,C
5000045,-4,X
5000045,-5,0
5000045,-6,C
5000045,-7,X
5000045,-8,C
5000045,-9,0
5000045,-10,C
5000045,-11,X
5000045,-12,0
5000045,-13,X
5000045,-14,0
5000045,-15,0
5000045,-16,C
5000045,-17,C
5000045,-18,0
5000045,-19,0
5000045,-20,X
5000045,-21,0
5000045,-22,0
5000045,-23,0
5000046,0,0
5000046,-1,2
5000046,-2,X
5000046,-3,0
5000046,-4,C
5000046,-5,1
5000046,-6,X
5000046,-7,0
5000046,-8,0
5000046,-9,0
5000046,-10,C
5000046,-11,0
5000046,-12,C
5000046,-13,3
5000046,-14,C
5000046,-15,1
5000046,-16,2
5000047,0,C
5000047,-1,0
5000047,-2,C
5000047,-3,C
5000047,-4,0
5000047,-5,0
5000047,-6,C
5000047,-7,X
5000047,-8,0
5000047,-9,0
5000047,-10,X
5000047,-11,X
5000047,-12,X
5000047,-13,0
5000047,-14,X
5000047,-15,C
5000048,0,C
5000048,-1,C
5000048,-2,0
5000048,-3,0
5000048,-4,C
5000048,-5,1
5000048,-6,0
5000048,-7,C
5000048,-8,C
5000048,-9,0
5000048,-10,C
5000048,-11,X
5000048,-12,C
5000048,-13,X
5000048,-14,1
5000048,-15,0
5000049,0,C
5000049,-1,C
5000049,-2,0
5000049,-3,C
5000049,-4,C
5000049,-5,0
5000049,-6,C
5000049,-7,C
5000049,-8,C
5000049,-9,0
5000049,-10,C
5000049,-11,X
5000049,-12,C
5000050,0,C
5000050,-1,C
5000050,-2,0
5000050,-3,1
5000050,-4,C
5000050,-5,X
5000050,-6,0
5000050,-7,C
5000050,-8,0
5000050,-9,C
5000050,-10,0
5000050,-11,0
5000050,-12,C
5000050,-13,0
5000050,-14,C
5000050,-15,C
5000050,-16,C
5000050,-17,C
5000050,-18,0
5000050,-19,0
5000050,-20,0
5000050,-21,0
5000050,-22,C
5000051,0,C
5000051,-1,C
5000051,-2,0
5000051,-3,C
5000051,-4,C
5000051,-5,C
5000051,-6,0
5000051,-7,0
5000051,-8,0
5000051,-9,C
5000051,-10,0
5000051,-11,0
5000051,-12,C
5000052,0,X
5000052,-1,0
5000052,-2,0
5000052,-3,X
5000052,-4,X
5000052,-5,0
5000052,-6,C
5000052,-7,C
5000052,-8,0
5000052,-9,C
5000052,-10,X
5000052,-11,C
5000052,-12,C
5000052,-13,C
5000052,-14,C
5000052,-15,C
5000052,-16,0
5000052,-17,C
5000053,0,C
5000053,-1,X
5000053,-2,C
5000053,-3,1
5000053,-4,C
5000053,-5,0
5000053,-6,C
5000053,-7,1
5000053,-8,X
5000053,-9,C
5000053,-10,C
5000053,-11,0
5000053,-12,0
5000053,-13,0
5000054,0,C
5000054,-1,0
5000054,-2,0
5000054,-3,1
5000054,-4,0
5000054,-5,C
5000054,-6,C
5000054,-7,2
5000054,-8,X
5000054,-9,C
5000054,-10,C
5000054,-11,C
5000054,-12,C
5000054,-13,1
5000054,-14,1
5000054,-15,0
5000054,-16,X
5000054,-17,0
5000054,-18,C
5000054,-19,0
5000054,-20,X
5000055,0,X
5000055,-1,C
5000055,-2,C
5000055,-3,0
5000055,-4,0
5000055,-5,C
5000055,-6,C
5000055,-7,C
5000055,-8,C
5000055,-9,1
5000055,-10,X
5000055,-11,X
5000055,-12,0
5000056,0,C
5000056,-1,C
5000056,-2,0
5000056,-3,C
5000056,-4,1
5000056,-5,C
5000056,-6,0
5000056,-7,0
5000056,-8,1
5000056,-9,X
5000056,-10,X
5000056,-11,C
5000056,-12,1
5000056,-13,0
5000056,-14,C
5000056,-15,0
5000056,-16,C
5000056,-17,C
5000056,-18,0
5000056,-19,C
5000057,0,C
5000057,-1,C
5000057,-2,C
5000057,-3,4
5000057,-4,C
5000057,-5,1
5000057,-6,2
5000057,-7,C
5000057,-8,C
5000057,-9,0
5000057,-10,1
5000057,-11,C
5000058,0,0
5000058,-1,C
5000058,-2,0
5000058,-3,X
5000058,-4,C
5000058,-5,C
5000058,-6,C
5000058,-7,C
5000058,-8,0
5000058,-9,C
5000058,-10,0
5000058,-11,0
5000058,-12,C
5000058,-13,1
5000058,-14,C
5000058,-15,0
5000058,-16,C
5000059,0,0
5000059,-1,C
5000059,-2,C
5000059,-3,0
5000059,-4,C
5000059,-5,C
5000059,-6,0
5000059,-7,1
5000059,-8,C
5000059,-9,0
5000059,-10,C
5000059,-11,C
5000059,-12,C
5000059,-13,X
5000059,-14,C
5000059,-15,0
5000059,-16,C
5000059,-17,1
5000059,-18,C
5000059,-19,X
5000059,-20,0
5000059,-21,X
5000060,0,X
5000060,-1,C
5000060,-2,C
5000060,-3,0
5000060,-4,C
5000060,-5,C
5000060,-6,1
5000060,-7,C
5000060,-8,0
5000060,-9,C
5000060,-10,X
5000060,-11,C
5000060,-12,C
5000060,-13,C
5000060,-14,0
5000060,-15,0
5000060,-16,C
5000060,-17,0
5000060,-18,X
5000060,-19,X
5000060,-20,C
5000061,0,0
5000061,-1,C
5000061,-2,C
5000061,-3,X
5000061,-4,C
5000061,-5,0
5000061,-6,C
5000061,-7,X
5000061,-8,0
5000061,-9,C
5000061,-10,C
5000061,-11,0
5000062,0,C
5000062,-1,0
5000062,-2,C
5000062,-3,C
5000062,-4,C
5000062,-5,0
5000062,-6,C
5000062,-7,C
5000062,-8,X
5000062,-9,C
5000062,-10,C
5000062,-11,0
5000062,-12,X
5000062,-13,0
5000062,-14,0
5000062,-15,0
5000062,-16,X
5000062,-17,C
5000062,-18,X
5000062,-19,0
5000062,-20,C
5000062,-21,C
5000063,0,0
5000063,-1,1
5000063,-2,X
5000063,-3,C
5000063,-4,X
5000063,-5,0
5000063,-6,X
5000063,-7,C
5000063,-8,C
5000063,-9,0
5000063,-10,0
5000063,-11,C
5000064,0,0
5000064,-1,C
5000064,-2,C
5000064,-3,C
5000064,-4,C
5000064,-5,C
5000064,-6,C
5000064,-7,C
5000064,-8,C
5000064,-9,C
5000064,-10,0
5000064,-11,C
5000064,-12,0
5000064,-13,X
5000064,-14,C
5000065,0,C
5000065,-1,1
5000065,-2,C
5000065,-3,0
5000065,-4,C
5000065,-5,0
5000065,-6,X
5000065,-7,0
5000065,-8,C
5000065,-9,0
5000065,-10,C
5000065,-11,C
5000065,-12,C
5000065,-13,C
5000065,-14,X
5000065,-15,0
5000066,0,0
5000066,-1,0
5000066,-2,C
5000066,-3,C
5000066,-4,0
5000066,-5,0
5000066,-6,C
5000066,-7,C
5000066,-8,C
5000066,-9,X
5000066,-10,C
5000066,-11,C
5000066,-12,0
5000066,-13,C
5000066,-14,X
5000066,-15,X
5000066,-16,C
5000066,-17,0
5000066,-18,X
5000066,-19,0
5000066,-20,0
5000066,-21,0
5000067,0,X
5000067,-1,0
5000067,-2,C
5000067,-3,0
5000067,-4,2
5000067,-5,X
5000067,-6,X
5000067,-7,X
5000067,-8,0
5000067,-9,C
5000067,-10,0
5000067,-11,C
5000067,-12,C
5000067,-13,X
5000067,-14,C
5000067,-15,0
5000067,-16,1
5000067,-17,2
5000067,-18,0
5000067,-19,0
5000067,-20,0
5000067,-21,4
5000068,0,X
5000068,-1,C
5000068,-2,C
5000068,-3,1
5000068,-4,0
5000068,-5,0
5000068,-6,C
5000068,-7,X
5000068,-8,0
5000068,-9,C
5000068,-10,C
5000068,-11,C
5000068,-12,0
5000068,-13,0
5000069,0,2
5000069,-1,0
5000069,-2,C
5000069,-3,C
5000069,-4,0
5000069,-5,0
5000069,-6,0
5000069,-7,1
5000069,-8,C
5000069,-9,0
5000069,-10,C
5000069,-11,C
5000069,-12,C
5000069,-13,0
5000069,-14,C
5000069,-15,C
5000069,-16,1
5000070,0,1
5000070,-1,X
5000070,-2,C
5000070,-3,4
5000070,-4,5
5000070,-5,C
5000070,-6,X
5000070,-7,C
5000070,-8,0
5000070,-9,0
5000070,-10,0
5000070,-11,0
5000070,-12,0
5000070,-13,C
5000070,-14,0
5000070,-15,C
5000070,-16,X
5000070,-17,0
5000070,-18,0
5000070,-19,C
5000070,-20,0
5000070,-21,0
5000070,-22,0
5000070,-23,2
5000071,0,C
5000071,-1,C
5000071,-2,C
5000071,-3,0
5000071,-4,X
5000071,-5,C
5000071,-6,X
5000071,-7,X
5000071,-8,X
5000071,-9,0
5000071,-10,C
5000071,-11,0
5000071,-12,X
5000071,-13,C
5000071,-14,0
5000071,-15,C
5000071,-16,X
5000072,0,X
5000072,-1,0
5000072,-2,1
5000072,-3,C
5000072,-4,X
5000072,-5,C
5000072,-6,C
5000072,-7,X
5000072,-8,C
5000072,-9,C
5000072,-10,C
5000072,-11,C
5000073,0,0
5000073,-1,1
5000073,-2,C
5000073,-3,0
5000073,-4,C
5000073,-5,C
5000073,-6,C
5000073,-7,0
5000073,-8,C
5000073,-9,0
5000073,-10,C
5000073,-11,X
5000073,-12,C
5000073,-13,0
5000073,-14,C
5000073,-15,0
5000073,-16,0
5000073,-17,C
5000073,-18,0
5000073,-19,0
5000073,-20,0
5000074,0,C
5000074,-1,0
5000074,-2,3
5000074,-3,0
5000074,-4,C
5000074,-5,0
5000074,-6,X
5000074,-7,C
5000074,-8,0
5000074,-9,C
5000074,-10,C
5000074,-11,C
5000074,-12,C
5000074,-13,0
5000074,-14,C
5000074,-15,C
5000074,-16,1
5000074,-17,0
5000074,-18,X
5000074,-19,C
5000074,-20,X
5000074,-21,0
5000074,-22,0
5000074,-23,0
5000075,0,C
5000075,-1,C
5000075,-2,0
5000075,-3,0
5000075,-4,X
5000075,-5,C
5000075,-6,X
5000075,-7,C
5000075,-8,C
5000075,-9,X
5000075,-10,C
5000075,-11,C
5000075,-12,0
5000075,-13,C
5000075,-14,1
5000075,-15,C
5000075,-16,0
5000075,-17,C
5000075,-18,0
5000075,-19,C
5000076,0,X
5000076,-1,0
5000076,-2,0
5000076,-3,C
5000076,-4,X
5000076,-5,0
5000076,-6,C
5000076,-7,C
5000076,-8,X
5000076,-9,C
5000076,-10,0
5000076,-11,C
5000076,-12,0
5000076,-13,C
5000076,-14,C
5000076,-15,C
5000076,-16,X
5000076,-17,C
5000076,-18,C
5000076,-19,0
5000076,-20,C
5000077,0,C
5000077,-1,C
5000077,-2,X
5000077,-3,C
5000077,-4,0
5000077,-5,C
5000077,-6,0
5000077,-7,X
5000077,-8,0
5000077,-9,C
5000077,-10,C
5000077,-11,C
5000077,-12,C
5000078,0,C
5000078,-1,C
5000078,-2,C
5000078,-3,C
5000078,-4,0
5000078,-5,1
5000078,-6,C
5000078,-7,0
5000078,-8,C
5000078,-9,0
5000078,-10,1
5000078,-11,0
5000078,-12,0
5000078,-13,C
5000079,0,C
5000079,-1,C
5000079,-2,X
5000079,-3,1
5000079,-4,0
5000079,-5,C
5000079,-6,C
5000079,-7,C
5000079,-8,C
5000079,-9,C
5000079,-10,C
5000079,-11,C
5000079,-12,C
5000079,-13,C
5000079,-14,C
5000079,-15,0
5000079,-16,C
5000079,-17,X
5000079,-18,0
5000079,-19,C
5000080,0,0
5000080,-1,0
5000080,-2,C
5000080,-3,0
5000080,-4,C
5000080,-5,C
5000080,-6,C
5000080,-7,C
5000080,-8,C
5000080,-9,C
5000080,-10,C
5000080,-11,0
5000080,-12,C
5000080,-13,0
5000081,0,0
5000081,-1,0
5000081,-2,0
5000081,-3,X
5000081,-4,X
5000081,-5,C
5000081,-6,X
5000081,-7,C
5000081,-8,0
5000081,-9,1
5000081,-10,0
5000081,-11,C
5000081,-12,C
5000081,-13,0
5000081,-14,C
5000081,-15,0
5000081,-16,0
5000082,0,0
5000082,-1,X
5000082,-2,C
5000082,-3,1
5000082,-4,C
5000082,-5,3
5000082,-6,C
5000082,-7,C
5000082,-8,2
5000082,-9,C
5000082,-10,C
5000082,-11,X
5000082,-12,C
5000082,-13,C
5000082,-14,C
5000083,0,C
5000083,-1,X
5000083,-2,0
5000083,-3,0
5000083,-4,0
5000083,-5,X
5000083,-6,C
5000083,-7,X
5000083,-8,X
5000083,-9,0
5000083,-10,0
5000083,-11,1
5000083,-12,0
5000083,-13,C
5000083,-14,C
5000083,-15,C
5000083,-16,0
5000083,-17,0
5000083,-18,C
5000083,-19,0
5000083,-20,C
5000083,-21,0
5000084,0,C
5000084,-1,0
5000084,-2,0
5000084,-3,C
5000084,-4,0
5000084,-5,0
5000084,-6,0
5000084,-7,0
5000084,-8,C
5000084,-9,0
5000084,-10,C
5000084,-11,C
5000084,-12,0
5000085,0,0
5000085,-1,0
5000085,-2,C
5000085,-3,C
5000085,-4,X
5000085,-5,0
5000085,-6,0
5000085,-7,X
5000085,-8,C
5000085,-9,0
5000085,-10,C
5000085,-11,0
5000085,-12,X
5000085,-13,X
5000085,-14,X
5000086,0,X
5000086,-1,1
5000086,-2,C
5000086,-3,C
5000086,-4,C
5000086,-5,0
5000086,-6,C
5000086,-7,0
5000086,-8,X
5000086,-9,C
5000086,-10,X
5000086,-11,C
5000086,-12,0
5000086,-13,C
5000086,-14,C
5000087,0,C
5000087,-1,C
5000087,-2,X
5000087,-3,0
5000087,-4,C
5000087,-5,1
5000087,-6,C
5000087,-7,0
5000087,-8,0
5000087,-9,C
5000087,-10,C
5000087,-11,C
5000087,-12,X
5000087,-13,0
5000087,-14,1
5000087,-15,1
5000087,-16,C
5000087,-17,C
5000088,0,X
5000088,-1,0
5000088,-2,X
5000088,-3,C
5000088,-4,C
5000088,-5,X
5000088,-6,1
5000088,-7,0
5000088,-8,C
5000088,-9,0
5000088,-10,C
5000088,-11,0
