ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CREDIT_INQUIRIES,EXISTING_LOAN_BALANCE
5000080,F,Y,Y,289800.0,State servant,Secondary / secondary special,Married,House / apartment,-17693,-10118,1,34100.0
5000081,F,Y,Y,89500.0,Working,Incomplete higher,Married,House / apartment,-16377,-1898,0,62100.0
5000082,M,N,N,156500.0,State servant,Secondary / secondary special,Married,House / apartment,-12177,-419,1,50800.0
5000083,M,Y,Y,215100.0,Commercial associate,Secondary / secondary special,Separated,House / apartment,-18917,-9869,2,0.0
5000084,M,Y,Y,250800.0,Working,Incomplete higher,Single / not married,House / apartment,-15301,-4998,1,0.0
5000085,M,N,Y,114500.0,State servant,Secondary / secondary special,Married,House / apartment,-24335,-3738,4,93900.0
5000086,F,N,N,206500.0,Commercial associate,Higher education,Married,House / apartment,-24290,-9861,2,19400.0
5000087,F,Y,Y,154300.0,Working,Higher education,Civil marriage,House / apartment,-23209,-11244,1,122600.0
5000088,F,N,N,127200.0,Working,Secondary / secondary special,Married,House / apartment,-13851,-6174,2,87600.0
5000089,F,Y,Y,251500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13987,-2222,0,79800.0
5000090,M,Y,Y,325300.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-22307,-551,2,54600.0
5000091,F,Y,Y,336400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20187,-7032,1,299300.0
5000092,F,N,Y,294400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19761,-11315,0,30200.0
5000093,F,Y,N,172300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12470,-1369,1,61800.0
5000094,F,Y,N,315800.0,Commercial associate,Lower secondary,Separated,House / apartment,-21976,-6258,1,335400.0
5000095,F,N,Y,257800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17617,-2967,2,0.0
5000096,F,N,Y,236200.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15341,-297,3,173800.0
5000097,F,Y,N,162700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22526,365243,4,178600.0
5000098,M,N,Y,172300.0,Working,Secondary / secondary special,Separated,House / apartment,-14437,-7083,0,91700.0
5000099,M,Y,Y,229200.0,Working,Academic degree,Separated,House / apartment,-18896,-1822,2,152800.0
5000100,M,N,N,748200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15668,-7015,0,0.0
5000101,F,N,Y,256800.0,Working,Secondary / secondary special,Married,House / apartment,-17845,-4025,3,0.0
5000102,M,N,N,162700.0,Working,Higher education,Married,House / apartment,-8366,-629,0,0.0
5000103,F,Y,Y,145700.0,Working,Higher education,Single / not married,House / apartment,-15586,-8490,1,0.0
5000104,F,Y,N,172700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17223,-7061,2,2000.0
5000105,M,Y,Y,656100.0,Pensioner,Higher education,Civil marriage,House / apartment,-16128,365243,0,354300.0
5000106,F,N,Y,180900.0,Commercial associate,Higher education,Married,House / apartment,-22217,-10093,0,71700.0
5000107,F,Y,Y,347600.0,Working,Secondary / secondary special,Married,House / apartment,-13011,-4933,1,171100.0
5000108,M,N,Y,183000.0,Working,Higher education,Single / not married,House / apartment,-22846,-5101,0,0.0
5000109,M,N,Y,251700.0,Working,Incomplete higher,Married,House / apartment,-14596,-4601,1,0.0
5000110,M,N,Y,328200.0,Working,Secondary / secondary special,Married,Office apartment,-19593,-3651,1,23700.0
5000111,M,N,Y,166000.0,Working,Higher education,Widow,House / apartment,-9158,-2187,0,98800.0
5000112,F,N,N,160300.0,Working,Lower secondary,Married,With parents,-11106,-2789,0,36500.0
5000113,F,N,Y,506300.0,Working,Higher education,Separated,House / apartment,-20736,-3585,0,106900.0
5000114,F,Y,Y,361400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-7881,-1194,2,133900.0
5000115,F,N,Y,328000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-24296,-8562,2,347500.0
5000116,F,N,Y,327500.0,State servant,Secondary / secondary special,Married,House / apartment,-10942,-2254,3,76400.0
5000117,M,N,Y,278000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23142,365243,1,120300.0
5000118,F,N,Y,605800.0,Commercial associate,Incomplete higher,Married,House / apartment,-16527,-519,1,233400.0
5000119,F,Y,N,225800.0,Working,Secondary / secondary special,Married,House / apartment,-17362,-9831,1,0.0
5000120,F,Y,Y,294800.0,Commercial associate,Secondary / secondary special,Widow,House / apartment,-9114,-2427,1,56100.0
5000121,F,N,Y,106900.0,Working,Higher education,Married,House / apartment,-13939,-4223,0,50300.0
5000122,M,Y,N,146200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10352,-1773,0,0.0
5000123,M,N,N,121200.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16698,-3757,0,114400.0
5000124,M,N,Y,417700.0,Commercial associate,Secondary / secondary special,Married,With parents,-17124,-2961,3,285100.0
5000125,F,N,N,61600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-19852,365243,4,0.0
5000126,F,N,Y,180600.0,Commercial associate,Higher education,Married,House / apartment,-22747,-8471,1,181400.0
5000127,F,Y,N,49400.0,Commercial associate,Higher education,Civil marriage,House / apartment,-15707,-1329,3,23500.0
5000128,M,Y,Y,145800.0,Working,Secondary / secondary special,Married,House / apartment,-11676,-4704,2,155300.0
5000129,F,N,N,172800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13396,365243,3,43800.0
5000130,F,N,N,441500.0,Working,Higher education,Married,House / apartment,-22212,-2721,3,0.0
5000131,M,N,Y,269400.0,Pensioner,Incomplete higher,Married,Rented apartment,-10174,365243,2,0.0
5000132,M,Y,Y,145600.0,Working,Secondary / secondary special,Married,House / apartment,-18438,-8891,2,143900.0
5000133,M,Y,Y,376400.0,Working,Higher education,Separated,House / apartment,-7894,-531,1,224700.0
5000134,F,N,Y,222900.0,State servant,Secondary / secondary special,Married,House / apartment,-11887,-1342,0,34900.0
5000135,M,N,Y,225100.0,Working,Secondary / secondary special,Married,House / apartment,-17822,-6355,0,219200.0
5000136,F,N,Y,121100.0,State servant,Higher education,Widow,House / apartment,-15505,-6876,2,0.0
5000137,F,Y,Y,134700.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16142,-7003,3,0.0
5000138,M,N,Y,146200.0,State servant,Secondary / secondary special,Married,House / apartment,-19009,-3046,1,0.0
5000139,F,N,Y,226100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11697,-1815,2,0.0
5000140,F,N,Y,229700.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12490,-5164,0,92200.0
5000141,M,Y,Y,478100.0,Working,Higher education,Married,With parents,-19420,-9341,2,443900.0
5000142,F,N,N,267800.0,Working,Secondary / secondary special,Married,House / apartment,-16910,-7419,1,280800.0
5000143,M,N,Y,57000.0,State servant,Secondary / secondary special,Married,House / apartment,-7920,-495,3,19900.0
5000144,M,N,Y,251900.0,Working,Secondary / secondary special,Married,House / apartment,-19177,-10019,2,0.0
5000145,M,N,N,107000.0,Working,Higher education,Married,House / apartment,-18315,-4325,0,14200.0
5000146,F,N,N,136300.0,Commercial associate,Secondary / secondary special,Married,Office apartment,-9019,-1090,0,72900.0
5000147,F,N,Y,147200.0,Working,Higher education,Married,House / apartment,-20502,-4135,1,125600.0
5000148,M,N,N,158500.0,Working,Higher education,Civil marriage,Municipal apartment,-16633,-1381,0,168200.0
5000149,M,Y,Y,111100.0,Working,Lower secondary,Married,House / apartment,-11185,-2044,1,0.0
5000150,F,Y,N,244600.0,Working,Higher education,Married,House / apartment,-17272,-360,1,67300.0
5000151,M,Y,Y,109100.0,State servant,Secondary / secondary special,Married,House / apartment,-17892,-5259,1,102100.0
5000152,M,N,Y,264000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-23465,-10642,0,0.0
5000153,F,N,Y,676000.0,Pensioner,Higher education,Married,House / apartment,-20410,365243,1,237800.0
5000154,F,N,N,113600.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-12853,-6039,3,83900.0
5000155,M,Y,Y,191600.0,Working,Secondary / secondary special,Married,House / apartment,-9698,-413,2,213300.0
5000156,F,Y,Y,62600.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-22316,-4240,0,24500.0
5000157,F,N,Y,190000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22194,-7311,0,0.0
5000158,M,N,N,304600.0,Commercial associate,Higher education,Civil marriage,House / apartment,-10679,-850,0,66800.0
5000159,F,Y,N,316700.0,State servant,Higher education,Married,House / apartment,-8736,-413,2,201100.0
5000160,M,N,Y,229600.0,Working,Secondary / secondary special,Married,House / apartment,-19890,-6123,0,26800.0
5000161,F,Y,Y,344600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-20074,-7916,0,99900.0
5000162,F,Y,Y,789000.0,Working,Secondary / secondary special,Married,House / apartment,-10711,-3425,1,443900.0
5000163,F,N,Y,520000.0,Working,Secondary / secondary special,Married,House / apartment,-19141,-12539,1,197700.0
5000164,M,Y,N,170100.0,Working,Higher education,Married,House / apartment,-12458,-4597,3,98800.0
5000165,F,N,Y,106900.0,Pensioner,Higher education,Separated,House / apartment,-12144,365243,0,0.0
5000166,M,Y,Y,180300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-13241,-1617,1,129500.0
5000167,M,Y,Y,137600.0,State servant,Secondary / secondary special,Married,House / apartment,-16603,-7547,1,0.0
5000168,M,Y,Y,276800.0,Working,Secondary / secondary special,Married,House / apartment,-21480,-7932,0,0.0
5000169,F,N,Y,122400.0,Working,Incomplete higher,Single / not married,House / apartment,-16230,-4453,1,0.0
5000170,F,N,Y,213000.0,Working,Secondary / secondary special,Married,House / apartment,-12786,-5824,1,0.0
5000171,M,N,Y,335900.0,State servant,Secondary / secondary special,Married,House / apartment,-22845,-10311,1,0.0
5000172,F,Y,Y,210100.0,Commercial associate,Higher education,Married,House / apartment,-8615,-1449,2,0.0
5000173,M,Y,Y,137600.0,Working,Higher education,Married,House / apartment,-21353,-352,3,0.0
5000174,F,N,Y,397500.0,State servant,Higher education,Married,House / apartment,-21135,-12620,1,153200.0
5000175,M,N,Y,86300.0,Working,Secondary / secondary special,Widow,House / apartment,-12022,-4359,0,28300.0
5000176,F,N,N,187500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11074,365243,0,120900.0
5000177,M,Y,Y,216300.0,State servant,Secondary / secondary special,Married,House / apartment,-22686,-4495,1,191200.0
5000178,F,N,Y,222700.0,Commercial associate,Incomplete higher,Married,House / apartment,-17264,-3251,0,258900.0
5000179,M,N,N,241800.0,State servant,Higher education,Civil marriage,House / apartment,-8460,-273,1,0.0
5000180,M,N,N,299700.0,Working,Higher education,Civil marriage,House / apartment,-22962,-916,1,53200.0
5000181,M,N,Y,217000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13661,-4798,0,28800.0
5000182,F,Y,Y,183800.0,Commercial associate,Higher education,Civil marriage,House / apartment,-13543,-1446,0,24000.0
5000183,F,N,Y,180200.0,Working,Secondary / secondary special,Married,House / apartment,-18713,-11224,0,61300.0
5000184,M,N,Y,162700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19022,-10515,0,11300.0
5000185,F,N,Y,327500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13735,-2617,2,273500.0
5000186,F,N,N,159900.0,Working,Higher education,Married,House / apartment,-10129,-1464,3,168500.0
5000187,F,N,N,337300.0,Working,Secondary / secondary special,Married,Municipal apartment,-17150,-3584,5,103500.0
5000188,F,N,Y,223000.0,Working,Higher education,Single / not married,With parents,-18402,-1258,2,0.0
5000189,M,Y,Y,170200.0,Working,Higher education,Married,House / apartment,-22437,-636,2,110300.0
5000190,M,Y,Y,300900.0,State servant,Secondary / secondary special,Married,House / apartment,-15986,-4355,2,267600.0
5000191,F,N,Y,153500.0,Working,Higher education,Married,House / apartment,-18754,-11496,0,0.0
5000192,F,N,Y,303900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8604,-1876,0,0.0
5000193,F,N,N,245700.0,Working,Secondary / secondary special,Married,House / apartment,-23026,-11866,1,260500.0
5000194,M,Y,Y,163900.0,Working,Higher education,Married,House / apartment,-13287,-4287,2,23900.0
5000195,M,N,N,287700.0,Working,Higher education,Civil marriage,House / apartment,-18523,-10257,0,180700.0
5000196,F,N,N,290300.0,Working,Secondary / secondary special,Separated,House / apartment,-23395,-7613,2,70800.0
5000197,F,Y,N,394000.0,Commercial associate,Higher education,Married,House / apartment,-21584,-2781,3,156700.0
5000198,F,N,Y,358100.0,Commercial associate,Higher education,Married,House / apartment,-18617,-8297,2,204300.0
5000199,F,Y,Y,282400.0,Working,Secondary / secondary special,Single / not married,With parents,-19748,-12143,0,204800.0
5000200,F,Y,Y,125700.0,Working,Secondary / secondary special,Separated,With parents,-23479,-465,0,0.0
5000201,M,N,Y,751400.0,State servant,Higher education,Married,House / apartment,-21611,-3810,1,487600.0
5000202,M,N,Y,109500.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-18139,-3203,0,43000.0
5000203,F,N,Y,355100.0,Working,Higher education,Married,House / apartment,-18978,-1392,2,265700.0
5000204,F,N,Y,274100.0,Commercial associate,Higher education,Separated,House / apartment,-10198,-958,2,0.0
5000205,M,N,Y,122800.0,Working,Secondary / secondary special,Married,With parents,-15741,-3632,0,133700.0
5000206,M,N,N,207600.0,Pensioner,Lower secondary,Widow,House / apartment,-12837,365243,0,95300.0
5000207,F,N,Y,212400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15085,-8010,2,44500.0
5000208,M,N,Y,424300.0,Working,Higher education,Separated,House / apartment,-19038,-10748,1,255600.0
5000209,M,Y,Y,154600.0,Working,Secondary / secondary special,Married,House / apartment,-10230,-3468,1,0.0
5000210,F,N,N,193800.0,Commercial associate,Higher education,Married,House / apartment,-7968,-328,1,45300.0
5000211,F,Y,Y,68700.0,Working,Secondary / secondary special,Civil marriage,Municipal apartment,-14484,-399,0,20700.0
5000212,F,Y,Y,525900.0,Pensioner,Higher education,Single / not married,House / apartment,-13201,365243,1,440600.0
5000213,M,N,Y,129300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14887,-1076,0,56600.0
5000214,F,N,N,260100.0,Working,Secondary / secondary special,Married,Municipal apartment,-23656,-13373,0,0.0
5000215,M,N,N,210000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-19808,-2238,1,0.0
5000216,M,N,Y,210300.0,Working,Higher education,Separated,House / apartment,-13291,-3924,1,152500.0
5000217,F,N,Y,331200.0,Working,Secondary / secondary special,Married,House / apartment,-10747,-1090,0,112200.0
5000218,F,Y,Y,509500.0,Commercial associate,Higher education,Married,Municipal apartment,-18287,-420,2,0.0
5000219,F,Y,Y,250500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-18958,-1215,1,12600.0
5000220,F,Y,N,306500.0,Commercial associate,Higher education,Single / not married,Rented apartment,-15972,-6723,2,0.0
5000221,F,N,N,260400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11322,-1015,2,0.0
5000222,M,Y,N,367400.0,Commercial associate,Higher education,Civil marriage,House / apartment,-8160,-504,1,437500.0
5000223,M,N,Y,175300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12230,-2247,1,0.0
5000224,M,N,Y,378200.0,Commercial associate,Higher education,Single / not married,House / apartment,-15518,-5940,3,273500.0
5000225,M,Y,Y,384900.0,Commercial associate,Higher education,Widow,House / apartment,-21196,-6954,1,318800.0
5000226,F,N,N,379500.0,Commercial associate,Secondary / secondary special,Civil marriage,Municipal apartment,-22326,-13810,1,238400.0
5000227,M,N,N,158800.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-14758,-3656,0,118300.0
5000228,F,Y,Y,203100.0,State servant,Secondary / secondary special,Married,House / apartment,-21337,-3055,0,134700.0
5000229,F,N,Y,249000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24722,365243,1,101600.0
5000230,F,N,Y,111300.0,Pensioner,Higher education,Married,House / apartment,-19972,365243,3,84200.0
5000231,F,N,Y,490400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-20177,-7378,2,337100.0
5000232,F,N,N,219500.0,Pensioner,Incomplete higher,Married,Rented apartment,-23284,365243,1,0.0
5000233,F,N,Y,254600.0,State servant,Secondary / secondary special,Married,House / apartment,-13475,-3211,1,91700.0
5000234,M,N,N,165500.0,Commercial associate,Incomplete higher,Married,House / apartment,-7862,-1052,0,0.0
5000235,F,Y,Y,113800.0,Working,Higher education,Single / not married,House / apartment,-24613,-13673,1,10000.0
5000236,M,N,N,163300.0,Working,Higher education,Civil marriage,House / apartment,-16089,-7987,1,193700.0
5000237,M,N,Y,246500.0,State servant,Secondary / secondary special,Separated,House / apartment,-21157,-5785,1,0.0
5000238,F,Y,N,309300.0,Working,Secondary / secondary special,Married,House / apartment,-21618,-3300,4,0.0
5000239,M,N,Y,239500.0,State servant,Secondary / secondary special,Married,House / apartment,-14494,-7258,1,28800.0
5000240,F,N,Y,262700.0,Working,Secondary / secondary special,Married,House / apartment,-16962,-4121,1,1100.0
5000241,F,N,Y,186600.0,Working,Higher education,Married,With parents,-16938,-8024,0,15900.0
5000242,F,N,Y,283100.0,Commercial associate,Higher education,Single / not married,House / apartment,-11450,-4826,2,293800.0
5000243,M,N,Y,463600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-9689,365243,3,433000.0
5000244,M,N,Y,314200.0,Working,Secondary / secondary special,Married,House / apartment,-17001,-6098,0,0.0
5000245,F,N,N,331100.0,State servant,Secondary / secondary special,Married,House / apartment,-9732,-1610,1,0.0
5000246,F,N,Y,255900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13611,-4979,4,165500.0
5000247,F,N,N,104200.0,Working,Secondary / secondary special,Married,House / apartment,-10864,-979,2,68300.0
5000248,F,N,N,131000.0,Working,Higher education,Married,Rented apartment,-19805,-6553,0,107200.0
5000249,F,N,Y,277300.0,Working,Secondary / secondary special,Married,With parents,-22639,-4688,4,258700.0
5000250,M,N,N,219700.0,Working,Higher education,Married,House / apartment,-17591,-1961,1,6300.0
5000251,M,N,Y,275200.0,Working,Secondary / secondary special,Married,House / apartment,-14711,-5035,1,0.0
5000252,F,N,Y,510800.0,Working,Higher education,Married,House / apartment,-24779,-8488,2,485800.0
5000253,M,Y,Y,317600.0,Working,Secondary / secondary special,Widow,With parents,-8034,-1154,2,0.0
5000254,M,N,N,414500.0,State servant,Higher education,Married,House / apartment,-12894,-5540,1,432800.0
5000255,F,N,Y,231600.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12454,-1438,1,0.0
